2015 rank,City,State,2015 estimate,2014 land area(sq mi),2014 land area(km2),latitude,longitude,id
1,New York,New York,8550405,302.6,783.8,40.6643,73.9385,36
2,Los Angeles,California,3971883,468.7,1213.9,34.0194,118.4108,6
3,Chicago,Illinois,2720546,227.6,589.6,41.8376,87.6818,17
4,Houston,Texas,2296224,599.6,1552.9,29.7805,95.3863,48
5,Philadelphia,Pennsylvania,1567442,134.1,347.3,40.0094,75.1333,42
6,Phoenix,Arizona,1563025,516.7,1338.3,33.5722,112.088,4
7,San Antonio,Texas,1469845,460.9,1193.8,29.4724,98.5251,48
8,San Diego,California,1394928,325.2,842.2,32.8153,117.135,6
9,Dallas,Texas,1300092,340.5,881.9,32.7757,96.7967,48
10,San Jose,California,1026908,176.6,457.3,37.2969,121.8193,6
11,Austin,Texas,931830,322.48,835.2,30.3072,97.756,48
12,Jacksonville,Florida,868031,747,1934.7,30.337,81.6613,12
13,San Francisco,California,864816,46.9,121.4,37.7751,122.4193,6
14,Indianapolis,Indiana,853173,361.4,936.1,39.7767,86.1459,18
15,Columbus,Ohio,850106,217.2,562.5,39.9848,82.985,39
16,Fort Worth,Texas,833319,339.8,880.1,32.7795,97.3463,48
17,Charlotte,North Carolina,827097,297.7,771,35.2087,80.8307,37
18,Seattle,Washington,684451,83.9,217.4,47.6205,122.3509,53
19,Denver,Colorado,682545,153,396.3,39.7618,104.8806,8
20,El Paso,Texas,681124,255.2,661.1,31.8484,106.427,48
21,Detroit,Michigan,677116,138.8,359.4,42.383,83.1022,26
22,Washington,District of Columbia,672228,61,158.1,38.9041,77.0171,11
23,Boston,Massachusetts,667137,48.3,125,42.332,71.0202,25
24,Memphis,Tennessee,655770,315.1,816,35.1035,89.9785,47
25,Nashville,Tennessee,654610,475.1,1230.8,36.1718,86.785,47
26,Portland,Oregon,632309,133.4,345.6,45.537,122.65,41
27,Oklahoma City,Oklahoma,631346,606.4,1570.6,35.4671,97.5137,40
28,Las Vegas,Nevada,623747,135.8,351.8,36.2277,115.264,32
29,Baltimore,Maryland,621849,80.9,209.6,39.3002,76.6105,24
30,Louisville,Kentucky,615366,325.2,842.4,38.1781,85.6667,21
31,Milwaukee,Wisconsin,600155,96.1,249,43.0633,87.9667,55
32,Albuquerque,New Mexico,559121,187.7,486.2,35.1056,106.6474,35
33,Tucson,Arizona,531641,226.7,587.2,32.1543,110.8711,4
34,Fresno,California,520052,113.2,293.2,36.7827,119.7945,6
35,Sacramento,California,490712,97.9,253.6,38.5666,121.4686,6
36,Kansas City,Missouri,475378,315,815.7,39.1252,94.5511,29
37,Long Beach,California,474140,50.3,130.3,33.8091,118.1553,6
38,Mesa,Arizona,471825,136.5,353.4,33.4019,111.7174,4
39,Atlanta,Georgia,463878,133.2,344.9,33.7629,84.4227,13
40,Colorado Springs,Colorado,456568,194.5,503.9,38.8673,104.7607,8
